Item;Qty;Reference(s);Value;Hersteller Nr.;Mouser Nr.
1;1;AE1;Antenna_Shield;CONUFL001-SMD-T;712-CONUFL001-SMD-T
2;5;C1, C2, C3, C4, C5;100n;CL10B104KB8NNWC;187-CL10B104KB8NNWC
3;2;C6, C7;1n;06035C102KAT2A;581-06035C102K
4;1;C8;22u;CL21A226MAYNNNE;187-CL21A226MAYNNNE
5;1;D1;LED;150060VS75000;710-150060VS75000
6;1;D2;SD0603;SD0603S040S0R2;581-SD0603S040S0R2 
7;2;D3, D6;D_TVS;CGA0603MLC-24E;652-CGA0603MLC-24E
8;2;D4, D5;MM5Z3V3;MM5Z3V3T1G;863-MM5Z3V3T1G 
10;1;J1;USB_B_Micro;614105150721;710-614105150721
15;4;Q1, Q3, Q5, Q6;BC846;BC846A,235;771-BC846A235
16;2;R1, R4;100K;CRCW0603100KFKEAC;71-CRCW0603100KFKEAC
17;13;R1k1, R9, R10, R12, R13, R14, R19, R20, R23, R24, R25, R26, R27;1k;RT0603FRE071KL;603-RT0603FRE071KL
18;8;R2, R11, R15, R16, R21, R22, R28, R29;10k;RT0603FRE0710KL;603-RT0603FRE0710KL
19;1;R3;15k;RT0603BRB0715KL;603-RT0603BRB0715KL
20;1;R5;240;RC0603FR-13240RL;603-RC0603FR-13240RL
21;1;R6;1.5k;RT0603FRE101K5L;603-RT0603FRE101K5L
22;2;R7, R8;68;CRCW060368R0FKEA;71-CRCW0603-68-E3
23;1;R17;40.2k;RR0816P-4022-D-59C;754-RR0816P-4022D59C
24;1;R18;4.7k;RT0603FRE074K7;603-RT0603FRE074K7L
27;1;U1;STM32L412K8Tx;STM32L412K8T6;511-STM32L412K8T6
28;1;U2;USBLC6-2SC6;USBLC6-2SC6;511-USBLC6-2SC6
29;1;U3;CURRENT_SENS;L01Z050S05;838-L01Z050S05
30;1;U4;RFM95W-868S2;RFM95W-868S2;223-RFM95W-868S2
31;1;U5;MCP1812AT-033/TT;MCP1812AT-033/TT;579-MCP1812AT-033/TT
32;1;U6;OPA990;OPA990IDBVR ;595-OPA990IDBVR 
